accelX,accelY,accelZ,gyroX,gyroY,gyroZ,speed
-0.812,0.150,9.810,0.012,-0.022,0.005,60.1
-1.205,-0.210,9.905,0.015,-0.045,-0.012,60.1
-2.145,0.451,9.812,-0.012,0.045,0.011,59.4
-2.850,-0.112,10.015,0.055,-0.110,-0.021,59.4
-3.412,-0.823,10.214,0.104,-0.215,-0.045,59.4
-2.905,1.102,9.145,-0.088,0.150,0.067,57.8
-4.102,-0.305,10.450,0.125,-0.310,-0.088,57.8
-4.811,-0.544,10.512,0.211,-0.401,-0.112,57.8
-3.755,0.912,8.995,-0.145,0.312,0.089,55.1
-5.112,-1.105,10.841,0.301,-0.511,-0.155,55.1
-4.505,0.615,9.210,-0.180,0.250,0.105,55.1
-6.012,-0.412,11.105,0.355,-0.612,-0.180,55.1
-5.815,0.850,8.750,-0.210,0.415,0.120,52.4
-6.512,-1.215,11.350,0.410,-0.750,-0.210,52.4
-5.905,0.310,9.105,-0.150,0.350,0.095,52.4
-7.102,-0.855,11.512,0.450,-0.812,-0.245,50.1
-6.850,0.915,8.510,-0.250,0.510,0.150,50.1
-7.412,-1.050,11.650,0.510,-0.905,-0.280,50.1
-6.505,0.412,9.350,-0.190,0.450,0.115,48.5
-5.912,-0.650,11.050,0.380,-0.650,-0.195,48.5
-5.405,0.815,8.950,-0.220,0.380,0.130,48.5
-4.812,-0.910,10.850,0.310,-0.550,-0.160,46.2
-4.105,0.510,9.450,-0.160,0.280,0.090,46.2
-3.812,-0.415,10.350,0.210,-0.410,-0.110,46.2
-3.205,0.710,9.650,-0.110,0.210,0.060,44.5
-2.912,-0.612,10.150,0.150,-0.310,-0.085,44.5
-2.405,0.315,9.750,-0.080,0.150,0.040,44.5
-1.812,-0.210,9.950,0.090,-0.180,-0.050,42.8
-1.205,0.115,9.850,-0.040,0.080,0.020,42.8
-0.912,-0.050,9.820,0.020,-0.050,-0.010,42.8
